Csirkepörkölt;Húsos;350
Túrós csusza;Tejtermék;400
Csokoládés brownie;Sütemény;200
Caprese saláta;Zöldség-Gyümölcs;250
Spagetti Carbonara;Tészta;600
Paradicsomos halászlé;Leves;300
Görög saláta;Zöldség-Gyümölcs;180
Grillezett zöldségek;Vegetáriánus;120
Sült csirkecomb;Húsos;280
Csokoládé torta;Sütemény;300
Sült csirkeszárnyak;Húsos;320
Rántott sajt;Tejtermék;450
Zöldbabfőzelék;Zöldség-Gyümölcs;200
Tonhal saláta;Zöldség-Gyümölcs;280
Rizottó;Tészta;400
Sült krumpli;Beépíthető;220
Csirkemell steak;Húsos;300
Gyümölcssaláta;Zöldség-Gyümölcs;150
Sült hal;Húsos;250
Penne arrabiata;Tészta;500
Sült zöldséges rizs;Zöldség-Gyümölcs;350
Fokhagymás rántott gomba;Tejtermék;380
Sült halászleves;Leves;280
Margarita pizza;Tészta;450
Mexikói tacos;Húsos;380
Csokoládé chip cookie;Sütemény;150
Sült zöldséges wrap;Vegetáriánus;320
Csirke Caesar saláta;Saláta;350
Sült padlizsán;Zöldség-Gyümölcs;200
Sült marhahús steak;Húsos;450
Kesudió pörkölt;Magvak;300
Piláf rizs;Zöldség-Gyümölcs;280
Spenótos ricotta tészta;Tejtermék;400
Mediterrán zöldség tál;Zöldség-Gyümölcs;180
Gyümölcs smoothie;Ital;200
Brokkolis sajtos leves;Leves;220
Grillezett lazac;Húsos;320
Csokoládé fondü;Desszert;500
Görög joghurt;Tejtermék;150
Padlizsán parmezán;Zöldség-Gyümölcs;250
Sült csirkemell szeletek;Húsos;280
Csípős thai curry;Tészta;400
Csokoládé torta kakaóval;Sütemény;300
Túrós pite;Sütemény;350
Tonhal steak;Húsos;280
Epres smoothie;Ital;200
Babgulyás;Leves;350
Görög pita;Tejtermék;400
Sült cukkini;Zöldség-Gyümölcs;180
Csirke nuggets;Húsos;320
Citromos túrótorta;Sütemény;300
Barna rizs saláta;Zöldség-Gyümölcs;250
Sült húsos tészta;Tészta;450
Grillezett camembert sajt;Tejtermék;380
Zöldborso leves;Leves;220
Csirke gyros;Húsos;380
Csokoládés fagyi;Desszert;280
Mexikói rizs;Zöldség-Gyümölcs;200
Sült lazac filé;Húsos;300
Vaníliás puding;Desszert;150
Barna kenyér;Kenyer;180
Túrós palacsinta;Sütemény;250
Gombaleves;Leves;180
Görög pita saláta;Saláta;320
Csirkemájas szendvics;Szendvics;400
Epres palacsinta;Sütemény;300
Gyümölcs joghurt;Tejtermék;180
Csirke curry rizs;Tészta;500
Lecsós húsos tészta;Tészta;380
Gyümölcs saláta;Zöldség-Gyümölcs;150
Mákos rétes;Sütemény;300
Sült kacsacomb;Húsos;450
Pizzás szendvics;Szendvics;280
Tejfölös krumplis tészta;Tészta;350
Csirkeburger;Húsos;400
Csokis gofri;Sütemény;250
Tárkonyos csirkeragu;Húsos;320
Grillezett cukkini;Zöldség-Gyümölcs;200
Tonhal saláta wrap;Szendvics;280
Főtt tojás;Tojás;150
Epres limonádé;Ital;100
Gyümölcsös pite;Sütemény;320
Csirke saláta;Saláta;280
Sült zöldségek quinoaval;Zöldség-Gyümölcs;350
Fűszeres grillezett csirke;Húsos;300
Sült padlizsán parmezánnal;Zöldség-Gyümölcs;250
Zöldséges tojásrántotta;Tojás;200
Csirkepaprikás galuskával;Tészta;400
Zöldséges curry rizs;Tészta;500
Tejszínes gombaleves;Leves;220
Grillezett halloumi sajt;Tejtermék;380
Csirke sült rizzsel;Tészta;450
Csokifagyi;Édesség;300
Vanília fagyi;Édesség;300
Tej;Tejtermék;100
Joghurt;Tejtermék;50
Tejföl;Tejtermék;100
Pizza;Húsos;400
Tejberizs;Tejtermék;200